MFCC_1;MFCC_2;MFCC_3;MFCC_4;MFCC_5;MFCC_6;MFCC_7;MFCC_8;MFCC_9;MFCC_10;MFCC_11;MFCC_12;MFCC_13;AVG_1;AVG_2;AVG_3;AVG_4;AVG_5;AVG_6;AVG_7;AVG_8;AVG_9;AVG_10;AVG_11;AVG_12;AVG_13;Palabra
41,78;1,46;-0,57;0,78;0,58;0,31;0,58;1,25;0,17;-0,03;-0,28;-0,05;-0,15;49,22;1,07;-0,59;0,21;0,05;0,65;0,35;0,29;0,13;0,36;0,08;-0,02;0,05;3
40,87;2,89;-0,13;0,67;-0,33;0,62;0,63;0,65;0,37;0,37;0,1;-0,09;0,62;47,69;1,11;-0,31;0,19;0,08;0,66;0,45;0,34;0,15;0,29;0,1;0,02;0,11;3
41,01;1,79;-0,36;0,83;0,22;0,56;0,62;0,47;-0,5;-0,27;-0,3;0,21;0,28;45,95;1,26;-0,09;0,27;0,07;0,67;0,51;0,44;0,06;0,16;0,05;0,02;0,07;3
44,49;1,61;0,02;0,39;-0,36;0,23;-0,58;-0,4;-0,17;0,23;0,26;0,44;0,24;44,56;1,44;0,14;0,4;0,04;0,6;0,41;0,42;0,02;0,07;0,03;0,01;0;3
56,15;1,16;-2,33;0,55;0,55;0,13;-0,04;-0,23;-0,23;0,2;0,09;-0,4;0,89;44,63;1,35;-0,06;0,54;0,17;0,55;0,37;0,43;0,04;0,11;0,02;-0,05;0,1;3
57,39;0,21;-2,73;-0,5;-0,13;0,48;0,33;0,12;0,68;0,97;0,66;0,05;1,12;45,6;1,29;-0,37;0,43;0,13;0,55;0,38;0,4;0,07;0,16;0,08;-0,04;0,24;3
58,33;-0,52;-1,62;-0,77;0,09;1,19;-0,03;-0,2;0,41;0,4;-0,06;-0,12;-0,03;46,83;1,17;-0,65;0,29;0,1;0,59;0,4;0,34;0,13;0,2;0,05;-0,02;0,28;3
54,34;2,74;-0,78;-1,11;-0,36;0,75;0,24;-0,45;-0,25;0,1;-0,1;0,18;-0,23;47,64;1,38;-0,81;0,15;0,07;0,63;0,4;0,3;0,07;0,22;0,07;-0,02;0,21;3
46,62;1,6;0,62;0,35;0,13;0,13;-0,03;0,32;0,26;0,24;0,27;0,47;0,69;48,13;1,44;-0,82;0,15;0,1;0,55;0,3;0,28;0,1;0,22;0,06;0,04;0,35;3
45,62;0,27;1,24;0,8;0,77;1,77;0,35;0,22;0,37;-0,43;-0,82;-0,41;-0,26;48,66;1,32;-0,66;0,2;0,12;0,62;0,21;0,17;0,11;0,18;-0,02;0,03;0,31;3
46,65;0,92;1,29;0,71;0,67;0,62;0,32;0,1;-0,32;-0,4;-0,86;-0,15;-0,22;49,15;1,27;-0,48;0,19;0,12;0,65;0,18;0,06;0,06;0,14;-0,08;0,02;0,31;3
43,8;2,31;0,54;0,45;0,17;0,54;0,31;0,4;-0,22;-0,11;-0,25;-0,66;-0,57;49,44;1,21;-0,41;0,17;0,17;0,64;0,15;0,03;0;0,09;-0,11;-0,04;0,19;3
41,16;2,73;-0,34;1,11;0,25;1,11;0,87;0,8;-0,25;-0,32;-0,62;-0,1;-0,14;49,45;1,3;-0,41;0,2;0,18;0,69;0,17;0,07;0,03;0,09;-0,14;-0,07;0,15;3
44,71;0,95;0,31;0,48;-0,07;0,23;0,48;0,13;-0,7;-0,25;-0,11;-0,11;-0,29;49,48;1,24;-0,38;0,21;0,21;0,69;0,28;0,12;-0,02;0,04;-0,18;-0,13;0,1;3
42,36;1,38;0,28;0,88;0,49;0,84;1,08;0,65;-0,4;-0,44;-0,44;-0,25;0,13;48,1;1,26;-0,12;0,24;0,2;0,76;0,39;0,21;-0,04;-0,02;-0,23;-0,11;0,02;3
41,2;2;-0,66;0,39;0,19;1,13;0,95;0,41;0,19;0,4;-0,02;0,24;0,14;46,48;1,44;0,09;0,33;0,23;0,83;0,45;0,24;-0,09;-0,08;-0,3;-0,09;-0,08;3
45,62;1,38;0,33;0,27;-1,36;-0,45;0,46;0,65;0,4;-0,17;-0,41;0,07;0,31;45,21;1,63;0,28;0,43;0,09;0,66;0,5;0,32;-0,09;-0,14;-0,34;-0,07;-0,04;3
55,77;1,5;-2,71;0,7;0,39;0,37;0,03;-0,29;-0,08;0,52;-0,28;-0,84;0,31;45,35;1,5;0,09;0,61;0,16;0,63;0,48;0,34;-0,07;-0,1;-0,35;-0,17;0,01;3
57,35;1,31;-3,2;0,76;0,74;-0,13;0,41;-0,39;0,58;1;0,07;-0,26;0,77;46,42;1,48;-0,29;0,66;0,22;0,6;0,53;0,27;-0,04;-0,02;-0,37;-0,25;0,02;3
59,43;0,1;-1,54;-0,24;0,44;0,59;-0,11;-0,3;0,1;0,38;-0,18;0,06;0,53;47,81;1,46;-0,57;0,55;0,19;0,48;0,48;0,22;-0,07;0,06;-0,31;-0,2;0,1;3
58,04;0,37;-1,31;-1,59;-0,86;0,45;-0,27;-0,06;-0,05;0,19;0,11;-0,01;0,07;48,94;1,4;-0,83;0,32;0,04;0,47;0,42;0,2;-0,04;0,12;-0,21;-0,18;0,13;3
48,41;2,76;-0,15;-0,72;-0,94;0,58;0,19;0,16;0,74;0,32;0,14;0,08;-0,33;49,41;1,45;-0,9;0,2;-0,07;0,47;0,41;0,18;0,05;0,16;-0,17;-0,11;0,15;3
45,9;-0,56;0,85;0,53;0,62;0,71;0,2;-0,05;0,08;0,5;0,3;0,41;0,17;49,88;1,12;-0,78;0,15;-0,04;0,43;0,34;0,09;0,09;0,24;-0,08;-0,06;0,18;3
45,7;0,32;0,84;0,75;0,21;0,86;0,45;0,37;0,09;0,62;-0,35;-0,36;-0,38;49,98;1,06;-0,73;0,17;-0,01;0,49;0,34;0,12;0,16;0,33;-0,11;-0,09;0,17;3
44,66;1,3;0,77;0,74;-0,22;0,58;0,71;0,44;-0,08;0,13;0,51;0,01;-0,61;50,21;1,05;-0,68;0,16;-0,08;0,47;0,3;0,09;0,2;0,39;-0,01;-0,06;0,1;3
45,88;1,09;0,34;0,9;0,39;0,7;0,49;0,41;0,21;-0,05;-0,37;-0,15;0;50,68;0,96;-0,58;0,21;-0,06;0,43;0,26;0,09;0,2;0,34;-0,05;-0,1;0,08;3
42,07;2,11;-0,03;0,72;0,9;1,62;0,44;0,55;0,58;0,55;-0,39;-0,4;-0,49;50,32;1,03;-0,61;0,26;0,17;0,63;0,25;0,09;0,22;0,42;-0,04;-0,15;0;3
42,51;1,2;-0,78;-0,02;0,83;0,98;1,26;1,03;0,22;0,05;-0,05;0,22;-0,4;48,99;1;-0,42;0,18;0,21;0,69;0,38;0,22;0,25;0,37;-0,02;-0,04;-0,07;3
40,74;2,09;-1,17;0,36;0,09;0,4;0,19;0,13;-0,44;0,18;-0,69;-0,07;0,05;47,33;1,08;-0,22;0,14;0,15;0,75;0,36;0,27;0,14;0,29;-0,1;-0,02;-0,14;3
43,89;1,25;-0,5;0,57;-0,46;0,3;-0,5;-0,44;0,06;-0,13;-0,14;0,2;0,09;45,78;1,19;-0,11;0,22;0,06;0,72;0,32;0,25;0,14;0,24;-0,09;-0,01;-0,18;3
55,45;2,14;-2,84;0,49;-0,36;0,47;-0,29;-0,35;-0,29;0,54;0,01;-0,13;0,63;45,52;1,37;-0,27;0,43;0,11;0,72;0,31;0,23;0,12;0,27;-0,1;-0,02;-0,13;3
57,88;1,14;-3,4;0,23;0,37;-0,16;0,75;-0,16;0,82;0,47;0,68;0,2;1,11;46,47;1,21;-0,59;0,53;0,24;0,64;0,37;0,19;0,12;0,29;-0,05;-0,01;0,02;3
58,23;0,07;-2,43;-0,34;0,36;0,7;0,62;-0,39;0,49;1,03;0,34;0,04;0,68;47,7;1,27;-0,92;0,44;0,21;0,64;0,41;0,16;0,17;0,34;-0,04;-0,04;0,07;3
54,72;2,14;-1;-1,87;-1,62;0,56;0,28;-0,62;0,34;0,32;0,34;-0,2;-0,49;48,6;1,45;-1,1;0,18;0,03;0,61;0,39;0,06;0,19;0,31;0,02;-0,03;0,06;3
50,73;2,74;0,11;-0,59;-2,67;1,59;0,46;0,22;0,79;-0,08;0,66;0,05;-0,28;49,21;1,6;-1,17;0,05;-0,22;0,72;0,37;0,04;0,28;0,29;0,04;-0,02;0,09;3
46,59;0,15;0,13;1,14;0,07;1,02;0,51;0,71;0,2;0,57;0;0,32;0,25;49,28;1,51;-1,19;0,07;-0,25;0,75;0,37;0,07;0,28;0,35;0,08;0,02;0,11;3
46,13;0,74;0,76;0,32;0,04;0,36;0,3;0,9;0,63;-0,02;-0,41;0,3;-0,11;49,69;1,37;-1,11;0,03;-0,34;0,62;0,36;0,1;0,28;0,29;0,07;0,09;0,15;3
42,35;2,54;-0,4;1,21;0,25;1,09;0,81;0,71;0,27;0,2;-0,49;-0,03;0,1;49,67;1,5;-1,07;0,15;-0,39;0,63;0,31;0,07;0,29;0,31;0,03;0,07;0,2;3
44,93;1,95;0,21;0,37;-0,3;0,37;0,37;-0,2;-0,48;0,16;0,06;-0,17;0,15;50,09;1,49;-0,94;0,15;-0,43;0,63;0,33;0,04;0,28;0,31;0,1;0,06;0,21;3
41,53;1,84;-0,58;0,22;0,25;1,24;0,82;0,74;0,34;-0,08;-0,35;-0,52;-0,55;49,85;1,55;-0,94;0,12;-0,36;0,72;0,46;0,16;0,31;0,31;0,08;-0,02;0,15;3
44,39;0,95;0,33;0,6;0,34;0,56;0,73;0,47;0,01;0,07;-0,65;-0,38;-0,33;48,75;1,43;-0,63;0,13;-0,29;0,73;0,56;0,24;0,34;0,26;0,02;-0,04;0,05;3
